country_or_region;date;variable;generation_twh
Germany;2019-09-01;Hydro;1.39
Germany;2019-09-01;Nuclear;5.78
Germany;2019-09-01;Other Fossil;2.16
Germany;2019-09-01;Solar;4.14
Germany;2019-09-01;Wind;9.14
Germany;2019-09-01;Wind and solar;13.28
Germany;2019-10-01;Bioenergy;3.57
Germany;2019-10-01;Clean;26
Germany;2019-10-01;Coal;12.53
Germany;2019-10-01;Fossil;23.98
Germany;2019-10-01;Gas;9.07
Germany;2019-10-01;Hydro;1.54
Germany;2019-10-01;Nuclear;6.74
Germany;2019-10-01;Other Fossil;2.38
Germany;2019-10-01;Solar;2.57
Germany;2019-10-01;Wind;11.58
Germany;2019-10-01;Wind and solar;14.15
Germany;2019-11-01;Bioenergy;3.55
Germany;2019-11-01;Clean;22.61
Germany;2019-11-01;Coal;16.61
Germany;2019-11-01;Fossil;27.13
Germany;2019-11-01;Gas;8.2
Germany;2019-11-01;Hydro;1.45
Germany;2019-11-01;Nuclear;6.45
Germany;2019-11-01;Other Fossil;2.32
Germany;2019-11-01;Solar;1.11
Germany;2019-11-01;Wind;10.05
Germany;2019-11-01;Wind and solar;11.16
Germany;2019-12-01;Bioenergy;3.68
Germany;2019-12-01;Clean;27.86
Germany;2019-12-01;Coal;12.07
Germany;2019-12-01;Fossil;21.43
Germany;2019-12-01;Gas;7.04
Germany;2019-12-01;Hydro;1.52
Germany;2019-12-01;Nuclear;6.53
Germany;2019-12-01;Other Fossil;2.32
Germany;2019-12-01;Solar;0.99
Germany;2019-12-01;Wind;15.14
Germany;2019-12-01;Wind and solar;16.13
Germany;2020-01-01;Bioenergy;3.85
Germany;2020-01-01;Clean;27.99
Germany;2020-01-01;Coal;13.26
Germany;2020-01-01;Fossil;24.69
Germany;2020-01-01;Gas;9.13
Germany;2020-01-01;Hydro;1.33
Germany;2020-01-01;Nuclear;5.8
Germany;2020-01-01;Other Fossil;2.3
Germany;2020-01-01;Solar;1.14
Germany;2020-01-01;Wind;15.87
Germany;2020-01-01;Wind and solar;17.01
Germany;2020-02-01;Bioenergy;3.48
